CLAVE DE AGEE,NOMBRE DE AGEE,NOMBRE ABREVIADO DE AGEE,POB_TOTAL,TOTAL DE VIVIENDAS HABITADAS,POB_MASCULINA,POB_FEMENINA
"01","AGUASCALIENTES","AGS.","1184996","290877","576638","608358"
"02","BAJA CALIFORNIA","BC","3155070","870769","1591610","1563460"
"03","BAJA CALIFORNIA SUR","BCS","637026","178271","325433","311593"
"04","CAMPECHE","CAMP.","822441","213727","407721","414720"
"05","COAHUILA DE ZARAGOZA","COAH.","2748391","727613","1364197","1384194"
"06","COLIMA","COL.","650555","180488","322790","327765"
"07","CHIAPAS","CHIS.","4796580","1091100","2352807","2443773"
"08","CHIHUAHUA","CHIH.","3406465","944681","1692545","1713920"
"09","DISTRITO FEDERAL","DF","8851080","2453770","4233783","4617297"
"10","DURANGO","DGO.","1632934","407784","803890","829044"
"11","GUANAJUATO","GTO.","5486372","1276913","2639425","2846947"
"12","GUERRERO","GRO.","3388768","810596","1645561","1743207"
"13","HIDALGO","HGO.","2665018","669514","1285222","1379796"
"14","JALISCO","JAL.","7350682","1831205","3600641","3750041"
"15","MÉXICO","MEX.","15175862","3749499","7396986","7778876"
"16","MICHOACÁN DE OCAMPO","MICH.","4351037","1082772","2102109","2248928"
"17","MORELOS","MOR.","1777227","469091","858588","918639"
"18","NAYARIT","NAY.","1084979","291163","541007","543972"
"19","NUEVO LEÓN","NL","4653458","1210893","2320185","2333273"
"20","OAXACA","OAX.","3801962","941814","1819008","1982954"
"21","PUEBLA","PUE.","5779829","1392053","2769855","3009974"
"22","QUERÉTARO DE ARTEAGA","QRO.","1827937","454392","887188","940749"
"23","QUINTANA ROO","Q. ROO","1325578","369326","673220","652358"
"24","SAN LUIS POTOSÍ","SLP","2585518","639265","1260366","1325152"
"25","SINALOA","SIN.","2767761","713296","1376201","1391560"
"26","SONORA","SON.","2662480","712402","1339612","1322868"
"27","TABASCO","TAB.","2238603","567233","1100758","1137845"
"28","TAMAULIPAS","TAMPS.","3268554","901387","1616201","1652353"
"29","TLAXCALA","TLAX.","1169936","274243","565775","604161"
"30","VERACRUZ-LLAVE","VER.","7643194","2014588","3695679","3947515"
"31","YUCATÁN","YUC.","1955577","507248","963333","992244"
"32","ZACATECAS","ZAC.","1490668","377018","726897","763771"
